Song,Artist,Link
Dig Deeper,Dreams Ahead,https://open.spotify.com/track/41GmT2g8MpZ5F9IKbzVAc8
phosphorescence,Garden Collective,https://open.spotify.com/track/2g7oWQYXIurU5x2YtMAC7H
Wheel of Zodiac,Spaced Out Dreams,https://open.spotify.com/track/5Uj3rUYghH7vcKl5IiitWC
daffodils,Tall Towers,https://open.spotify.com/track/1t2lWnGFqsejjpEUIoziKU
you're just visiting,The Field Tapes,https://open.spotify.com/track/7rsRqxM1uneTiTKVjcxfPv
Midnight Land,Akustique,https://open.spotify.com/track/1bUiyTithUxLGEMZ2RD8US
Fox Mountain,Alderville,https://open.spotify.com/track/7AhQiikvGQzcr2Kpb74fLG
Feathers In The Sky,Agnes Lundh,https://open.spotify.com/track/4Bl2bWpteL5TFmqQ22IQXp
World Above,Echo Ark,https://open.spotify.com/track/6lCPEra6l4YkPkXVZeFqeT
Am I Dreaming,Josef Briem,https://open.spotify.com/track/7zVTz5fDa8AfRfGdnXou3m
Second Chances,Spaced Out Dreams,https://open.spotify.com/track/7IbbjapJhOwteSxyMjWOLB
save the date,Shape Of Our Dreams,https://open.spotify.com/track/0MeFxDLrLaw3n0sSjIXYvn
center of mass,Far & Beyond,https://open.spotify.com/track/6opcJWSYfidSOyn8bQlTlK
lone cowboy,Astronaut In The Desert,https://open.spotify.com/track/5UZdpqf1F4fvDqvGYC2sRt
The Object at Hand,Joy Parade,https://open.spotify.com/track/0sm2PC8NP8L0J2sxPJwKvA
In Due Time,Tall Towers,https://open.spotify.com/track/433T7mnFe3pkrTZfnYtq7A
Nuraxi,PLACID,https://open.spotify.com/track/0jgfH1TWoXIC0Qk5x0Uerw
"ready, steady, go",Hers Lake,https://open.spotify.com/track/4mQEVCbtbQuiOYouVR0fcs
Beginnings,Melvin Barker,https://open.spotify.com/track/2o41jDa4T0QKF9804tqyka
Tidal Waves,Isaak Young,https://open.spotify.com/track/3YTZyDywwVOWOXw2d970Dx
Frozen Lakes,Imber Sun,https://open.spotify.com/track/0acEauszFAvCGw9cNF0kZM
Staring into Infinity,Far & Beyond,https://open.spotify.com/track/0Mjbx4mfOH02A9xmUE3F40
Break Through,Sounds of Ellinia,https://open.spotify.com/track/02Nyn3a2nHssi9rNg3jkdL
Neon White,Dance Of Centuries,https://open.spotify.com/track/7GuN1Fddm0hCfppgIDUArP
Number Games,Haltura Arnadottir,https://open.spotify.com/track/2ZSCtZBMhLuINrMNF23v2e
remembrance,Dreams Ahead,https://open.spotify.com/track/5NFybpngup7caMPSMiJ5ZO
Are You Up,Agnes Lundh,https://open.spotify.com/track/3xXQCt1vfzNEOndrrNWAZR
waveforms,Joy Parade,https://open.spotify.com/track/2dwLTY84vCeubyM0jM0nXH
miniature things,Tall Towers,https://open.spotify.com/track/3kKwXt8TAU7wMCPIPCrzkI
Abroad and Overseas,Imala Zir,https://open.spotify.com/track/23sRVWvfwWdagkqC95eS6n
both sides of the coin,Electric Rivers,https://open.spotify.com/track/1chT7Yo3zSvjFPRQ20fWFH
taming the tiger,Golden Horses,https://open.spotify.com/track/5iR4ziuzYZO1VondRmrvsc
Look At The Stars,The Purple Stripe,https://open.spotify.com/track/4YhxXaf6Qrn5DrmgEfhwLH
oh! the view,Mayra R,https://open.spotify.com/track/09LGPIStoVjhEWYV5PG9M6
