Song,Artist,Link
I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
Take You Dancing,Jason Derulo,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
Higher Love,Kygo,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
Rock My Body,R3HAB,https://open.spotify.com/track/6pb5DtlAeG95dNQLHiArRU
Hot In It,Tiësto,https://open.spotify.com/track/3Z7CaxQkqbIs1rewKi6v4W
3 Nights,Dominic Fike,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
Love Grows (Where My Rosemary Goes),Edison Lighthouse,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
4runner,Brenn!,https://open.spotify.com/track/1RaF9xwakfao1RRknWyYB5
I Forgot That You Existed,Taylor Swift,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
Chemical,Post Malone,https://open.spotify.com/track/4qzEjmuz380jeiBJp31oDY
Dance Monkey,Tones And I,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K
Dancing In The Moonlight (feat. NEIMY),Jubël,https://open.spotify.com/track/4GSDkZt7GcmzBWmsMcpaVO
Never Gonna Not Dance Again,P!nk,https://open.spotify.com/track/6sZo5nJIsFWXefRCCexpx0
AOK,Tai Verdes,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
Fancy Like,Walker Hayes,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
Special (feat. SZA),Lizzo,https://open.spotify.com/track/0rc1HCVoReqzzXF9jssqZk
Magic In The Hamptons (feat. Lil Yachty),Social House,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
Don’t Wake Me Up,Jonas Blue,https://open.spotify.com/track/3LEgGAl9zLcQWGTp7ptqtQ
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMmxHkI
Sweetest Pie,Megan Thee Stallion,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
Dive,Hot Shade,https://open.spotify.com/track/2aXC0fD6qziwlOZZqhCqTd
Anyone For You (Tiger Lily),George Ezra,https://open.spotify.com/track/44JSreJxvgl3CxLo5MoQL0
Eyes On You,Nicky Youre,https://open.spotify.com/track/6qItx3M2IZbXBKRnptbnHM
Run,OneRepublic,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
What A Man Gotta Do,Jonas Brothers,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
Betty (Get Money),Yung Gravy,https://open.spotify.com/track/4cacyP5c3PMlfnyjpg13xW
Beautiful People (feat. Khalid),Ed Sheeran,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97
Woke Up in Love,Kygo,https://open.spotify.com/track/21H0pUV2uPIPcFnFhgTBjo
Jerusalema (feat. Nomcebo Zikode),Master KG,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
Higher Power,Coldplay,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
This Feeling,The Chainsmokers,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
Cover Me In Sunshine,P!nk,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
Rain On Me (with Ariana Grande),Lady Gaga,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
Anyone,Justin Bieber,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
Dancing Feet (feat. DNCE),Kygo,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
2step,Ed Sheeran,https://open.spotify.com/track/2SUxn2O9NHL6GHGQFgwCY0
people pleaser,Cat Burns,https://open.spotify.com/track/3UEOT0hD60yGB1OMWJxLQ8
